2024-03-04 702.1 712.9
2024-03-05 722.8 717.8
2024-03-06 706.0 722.8
2024-03-07 742.4 747.3
2024-03-08 781.8 770.9
2024-03-11 755.2 753.2
2024-03-12 744.4 757.2
2024-03-13 771.9 766.0
2024-03-14 766.0 770.9
2024-03-15 758.2 740.5
2024-03-18 744.9 754.8
2024-03-19 748.9 752.8
2024-03-20 754.8 748.9
2024-03-21 763.7 774.5
2024-03-22 778.5 775.5
2024-03-25 773.6 770.6
2024-03-26 778.5 772.6
2024-03-27 775.5 769.6
2024-03-28 764.7 759.7
2024-03-29 759.7 766.6
2024-04-01 773.6 760.7
2024-04-02 774.5 780.5
2024-04-03 773.6 770.6
2024-04-08 779.5 773.6
2024-04-09 785.4 809.1
2024-04-10 805.2 805.2
2024-04-11 801.2 810.1
2024-04-12 813.1 808.1
2024-04-15 794.3 796.3
2024-04-16 792.3 778.5
2024-04-17 788.4 794.3
2024-04-18 786.4 794.3
2024-04-19 759.7 740.9
2024-04-22 731.1 733.0
2024-04-23 751.8 744.9
2024-04-24 760.7 773.6
2024-04-25 760.7 756.8
2024-04-26 778.5 772.6
2024-04-29 780.5 785.4
2024-04-30 787.4 780.5
2024-05-02 779.5 762.7
2024-05-03 778.5 770.6
2024-05-06 781.5 776.5
2024-05-07 787.4 790.3
2024-05-08 784.4 792.3
2024-05-09 788.4 786.4
2024-05-10 793.3 792.3
2024-05-13 813.1 809.1
2024-05-14 806.2 815.0
2024-05-15 827.9 828.9
2024-05-16 841.7 830.9
2024-05-17 837.8 824.9
2024-05-20 823.9 824.9
2024-05-21 820.0 830.9
2024-05-22 834.8 853.6
2024-05-23 864.4 864.4
2024-05-24 847.6 856.5
2024-05-27 861.5 858.5
2024-05-28 856.5 854.6
2024-05-29 850.6 846.7
2024-05-30 830.9 827.9
2024-05-31 827.9 811.1
2024-06-03 828.9 835.8
2024-06-04 833.8 828.9
2024-06-05 830.9 843.7
2024-06-06 882.2 883.2
2024-06-07 874.3 868.4
2024-06-11 881.2 872.3
2024-06-12 877.3 898.0
2024-06-13 915.4 911.4
2024-06-14 908.4 914.4
2024-06-17 905.5 913.4
2024-06-18 936.2 935.2
2024-06-19 945.1 972.9
2024-06-20 963.0 972.9
2024-06-21 953.1 962.0
2024-06-24 950.1 932.2
2024-06-25 917.4 937.2
2024-06-26 943.2 952.1
2024-06-27 943.2 952.1
2024-06-28 948.1 958.0
2024-07-01 960.0 960.0
2024-07-02 959.0 952.1
2024-07-03 967.9 970.9
2024-07-04 991.8 996.7
2024-07-05 996.7 996.7
2024-07-08 996.7 1026.5
2024-07-09 1021.5 1031.4
2024-07-10 1011.6 1036.4
2024-07-11 1056.2 1071.1
2024-07-12 1021.5 1031.4
2024-07-15 1031.4 1031.4
2024-07-16 1031.4 1046.3
2024-07-17 1026.5 1021.5
2024-07-18 979.8 996.7
2024-07-19 979.8 962.0
2024-07-22 956.0 931.3
2024-07-23 955.1 970.9
2024-07-26 907.5 916.4
2024-07-29 934.2 936.2
2024-07-30 922.3 932.2
2024-07-31 921.3 926.3
2024-08-01 961.0 952.1
2024-08-02 910.4 895.6
2024-08-05 845.0 808.3
2024-08-06 860.8 872.7
2024-08-07 893.6 912.4
2024-08-08 893.6 888.6
2024-08-09 919.4 926.3
2024-08-12 934.2 932.2
2024-08-13 937.2 933.2
2024-08-14 943.2 940.2
2024-08-15 937.2 935.2
2024-08-16 955.1 961.0
2024-08-19 961.0 965.0
2024-08-20 968.9 965.0
2024-08-21 953.1 950.1
2024-08-22 950.1 943.2
2024-08-23 936.2 941.2
2024-08-26 949.1 942.2
2024-08-27 937.2 934.2
2024-08-28 937.2 956.0
2024-08-29 934.2 935.2
2024-08-30 936.2 936.2
2024-09-02 942.2 940.2
2024-09-03 940.2 932.2
2024-09-04 886.6 881.7
2024-09-05 899.5 894.6
2024-09-06 901.5 910.4
2024-09-09 884.6 891.6
2024-09-10 899.5 896.5
2024-09-11 898.5 893.6
2024-09-12 932.4 936.4
2024-09-13 951.3 943.4
2024-09-16 948.4 943.4
2024-09-18 941.4 937.4
2024-09-19 936.4 956.3
2024-09-20 977.2 969.3
2024-09-23 967.3 973.3
2024-09-24 972.3 983.2
2024-09-25 996.2 1001.2
2024-09-26 1006.1 1011.1
2024-09-27 1016.1 996.2
2024-09-30 974.3 953.3
2024-10-01 963.3 968.3
2024-10-04 982.2 973.3
2024-10-07 989.2 1001.2
2024-10-08 996.2 1006.1
2024-10-09 1026.1 1016.1
2024-10-11 1021.1 1041.0
2024-10-14 1041.0 1041.0
2024-10-15 1046.0 1065.9
2024-10-16 1036.0 1041.0
2024-10-17 1046.0 1031.0
2024-10-18 1090.8 1080.8
2024-10-21 1085.8 1080.8
2024-10-22 1060.9 1070.9
2024-10-23 1055.9 1055.9
2024-10-24 1065.9 1055.9
2024-10-25 1060.9 1060.9
2024-10-28 1070.9 1046.0
2024-10-29 1031.0 1036.0
2024-10-30 1036.0 1026.1
2024-11-01 992.2 1021.1
2024-11-04 1026.1 1036.0
2024-11-05 1026.1 1046.0
2024-11-06 1046.0 1055.9
2024-11-07 1046.0 1060.9
2024-11-08 1080.8 1085.8
2024-11-11 1075.9 1080.8
2024-11-12 1055.9 1046.0
2024-11-13 1041.0 1031.0
2024-11-14 1026.1 1031.0
2024-11-15 1036.0 1031.0
2024-11-18 1026.1 1021.1
2024-11-19 1026.1 1036.0
2024-11-20 1021.1 1021.1
2024-11-21 1016.1 1006.1
2024-11-22 1031.0 1036.0
2024-11-25 1041.0 1026.1
